hotel_id,name,hotel_link
0,Khách sạn Minasi HanoiOi Hà Nội,https://www.ivivu.com/khach-san-ha-noi/hanoioi-hotel
1,Khách sạn Pullman Hà Nội,https://www.ivivu.com/khach-san-ha-noi/pullman-hanoi
2,Khách sạn Flower Garden Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-flower-garden-ha-noi
3,Khách sạn The Chi Boutique Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-the-chi-ha-noi
4,Khách sạn A25 - 30 An Dương Hà Nội,https://www.ivivu.com/khach-san-ha-noi/a25-hotel-an-duong
5,Khách sạn Meliá Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-melia-ha-noi
6,Khách sạn Apricot Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-apricot-ha-noi
7,Khách sạn FTE Ba Đình Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-fte-ba-dinh-ha-noi
8,Khách sạn Reyna Luxury Hà Nội,https://www.ivivu.com/khach-san-ha-noi/reyna-luxury-hotel
9,Khách sạn Sen Grand Hotel & Spa Hà Nội,https://www.ivivu.com/khach-san-ha-noi/sen-grand-hotel-spa-managed-by-sen-group
10,Khách sạn Conifer Grand Hà Nội,https://www.ivivu.com/khach-san-ha-noi/conifer-grand-hotel
11,Khách sạn Mường Thanh Grand Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-muong-thanh-grand-ha-noi
12,Khách sạn Roygent Parks Hà Nội,https://www.ivivu.com/khach-san-ha-noi/roygent-parks-hanoi
13,Khách sạn Azumaya Kim Mã 2,https://www.ivivu.com/khach-san-ha-noi/khach-san-azumaya-kim-ma-2
14,Tru by Hilton Hà Nội Station,https://www.ivivu.com/khach-san-ha-noi/khach-san-tru-by-hilton-ha-noi-station
15,Khách sạn Authentic Hà Nội Boutique,https://www.ivivu.com/khach-san-ha-noi/authentic-hanoi-boutique-hotel
16,Khách Sạn SaiGon Aroma Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-saigon-aroma
17,Khách sạn Sen Luxury Hà Nội,https://www.ivivu.com/khach-san-ha-noi/sen-hotel-2
18,Khách sạn 22Land Residence Hà Nội - Nguyễn Đình Hoàn,https://www.ivivu.com/khach-san-ha-noi/22land-residence-hotel-2
19,Khách sạn Gloud Hà Nội,https://www.ivivu.com/khach-san-ha-noi/gloud-hotel
20,Khách sạn Chalcedony Hà Nội,https://www.ivivu.com/khach-san-ha-noi/chalcedony-hotel
21,Khách sạn Sen Hà Nội,https://www.ivivu.com/khach-san-ha-noi/sen-hotel
22,Khách sạn 22Land Residence Hà Nội - 50 Trương Công Giai,https://www.ivivu.com/khach-san-ha-noi/22land-residence-ha-noi
