hotel_id,name,hotel_link,stars,rating,reviews,address,intro,price,room_type,province
0,Khách sạn Minasi HanoiOi Hà Nội,https://www.ivivu.com/khach-san-ha-noi/hanoioi-hotel,4.0,11.0,,"30c P. Bà Triệu, quận Hoàn Kiếm","Gần Phố Cổ & Hồ Gươm, Quận Hoàn Kiếm, Gần Hồ Gươm, Gần Nhà Tù Hỏa Lò",1.525.000,Deluxe Double,ha-noi
1,Khách sạn Pullman Hà Nội,https://www.ivivu.com/khach-san-ha-noi/pullman-hanoi,5.0,24.0,,"40 Cát Linh, quận Đống Đa","Gần Lăng Chủ tịch, Phong cách Pháp",3.021.500,"SUPERIOR ROOM, 2 Single Size Beds, City View",ha-noi
2,Khách sạn Flower Garden Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-flower-garden-ha-noi,4.0,24.0,,46 Nguyễn Trường Tộ,"Quận Ba Đình, Gần Phố Cổ & Hồ Gươm, Gần hồ Tây, Gần Phố Cổ",1.485.000,Superior Double,ha-noi
3,Khách sạn The Chi Boutique Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-the-chi-ha-noi,4.0,50.0,,"13 - 15 Nhà Chung, quận Hoàn Kiếm","Quận Hoàn Kiếm, Gần nhà thờ lớn, Gần hồ Hoàn Kiếm",1.650.000,Standard,ha-noi
4,Khách sạn A25 - 30 An Dương Hà Nội,https://www.ivivu.com/khach-san-ha-noi/a25-hotel-an-duong,1.5,0.0,,"30 P. An Dương, Phường Hồng Hà","A25 Hotel 30 An Dương ở Yên Phụ, Hà Nội, cách Hồ Tây và Chùa Trấn Quốc 10 phút đi bộ. Khách sạn này cách Đền Quán Thánh 1 mi (1, 7 km) và cách Phủ Chủ tịch 1, 1 mi (1, 7 km).",726.000,Tiêu Chuẩn,ha-noi
5,Khách sạn Meliá Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-melia-ha-noi,5.0,65.0,,"44 Lý Thường Kiệt, quận Hoàn Kiếm","Gần Hồ Hoàn Kiếm, Quận Hoàn Kiếm, Gần Phố Cổ & Hồ Gươm, Gần hồ Hoàn Kiếm, +1, ",4.410.000,Premium Room,ha-noi
6,Khách sạn Apricot Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-apricot-ha-noi,5.0,17.0,,"136 Hàng Trống, quận Hoàn Kiếm","Quận Hoàn Kiếm, Gần Phố Cổ & Hồ Gươm, Gần hồ Hoàn Kiếm, Bể bơi tầng thượng",3.320.000,"Deluxe Sketch, 2 Single Beds with Internal Window",ha-noi
7,Khách sạn FTE Ba Đình Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-fte-ba-dinh-ha-noi,4.0,0.0,,"268 Đường Bưởi, P. Vĩnh Phúc","trung tâm, cao cấp, ba đình",1.595.000,Superior,ha-noi
8,Khách sạn Reyna Luxury Hà Nội,https://www.ivivu.com/khach-san-ha-noi/reyna-luxury-hotel,4.0,1.0,,34 P. Miếu Đầm,"Gần Mỹ Đình, Quận Nam Từ Liêm, Gần SVĐ Mỹ Đình",1.028.500,Superior Double or Twin,ha-noi
9,Khách sạn Sen Grand Hotel & Spa Hà Nội,https://www.ivivu.com/khach-san-ha-noi/sen-grand-hotel-spa-managed-by-sen-group,4.0,2.0,,"118/20 Nguyễn Khánh Toàn, Cầu Giấy",Quận Cầu Giấy,1.155.000,Superior,ha-noi
